PLUIDM|PLUIGR|DESKRIPSI|SALDO_AWAL|BPB_QTY|BPBR_QTY|MPP_QTY|ADJP_QTY|DSPB_QTY|MPN_QTY|ADJM_QTY|SALDO_AKHIR
10000451|0005200|"CLOSE UP PASTA GIGI GEL GREEN MENTHOL FRESH TUB 65g"|-1920|0|5|0|0|444|0|0|-2359
10037208|0005210|"CLOSE UP PASTA GIGI DEEP ACTION (33329) MENTHOL FRESH TUB 110g"|-4285|96|18|0|0|108|0|0|-4279
10003569|0012010|"CLOSE UP PASTA GIGI GEL GREEN EVER FRESH TUB 160g"|-5917|1920|1|0|0|304|0|0|-4300
10000621|0026040|"SANGOBION OBAT TAMBAH DARAH (10'S)  STR "|0|0|0|0|0|6|0|0|-6
10004048|0036630|"PEPSODENT PASTA GIGI WHITE  TUB 75g"|-6420|0|0|0|0|1474|0|0|-7894
10004714|0039020|"PEPSODENT PASTA GIGI WHITE  TUB 120g"|-3676|0|0|0|0|508|0|0|-4184
10004715|0039030|"PEPSODENT PASTA GIGI WHITE  TUB 190g"|-1953|0|0|0|0|288|0|0|-2241
10004610|0047840|"SOS PEMBERSIH LANTAI REFILL APPLE PCH 750mL"|684|408|1|0|0|75|0|0|1018
10004034|0049860|"VIXAL PEMBERSIH KERAMIK PORS BIRU BTL 780/750mL"|-1476|0|0|0|0|132|0|0|-1608
10003359|0065910|"WIPOL PEMBERSIH LANTAI CLASSIC PINE BTL 800/750mL"|-724|0|0|0|0|14|0|0|-738
10000305|0110500|"BANGO KECAP MANIS (66269)  BTL 275mL"|211|0|0|0|0|107|0|0|104
10004032|0148180|"VIXAL PEMBERSIH PORSELIN (41404) GREEN BTL 780/750mL"|-427|108|0|0|0|84|0|0|-403
10014263|0232980|"WIPOL KARBOL WANGI CEMARA PCH 780/750mL"|-870|0|0|0|0|54|0|0|-924
10005820|0277080|"ROYCO BUMBU KALDU (18023) AYAM PCK 100g"|406|0|0|0|0|330|0|0|76
10005821|0277090|"ROYCO BUMBU KALDU (18025) DAGING SAPI PCK 100g"|-1284|0|0|0|0|173|0|0|-1457
10006263|0294620|"HEMAVITON ENERGI DRINK  BTL 150mL"|666|650|0|0|0|955|0|0|361
10007971|0337730|"BUAVITA JUICE SLIM (82317) ORANGE TPK 250mL"|561|408|0|0|0|318|0|0|651
10007973|0337740|"BUAVITA JUICE SLIM (82313) MANGGA TPK 250mL"|-155|672|0|0|0|563|0|0|-46
10007970|0337750|"BUAVITA JUICE SLIM (82314) JAMBU TPK 250mL"|-7128|0|0|0|0|504|0|0|-7632
10007974|0337770|"BUAVITA JUICE SLIM (82207) LYCHEE TPK 250mL"|2093|504|0|0|0|332|0|0|2265
10007972|0337780|"BUAVITA JUICE SLIM (82312) APPLE TPK 250mL"|343|336|0|0|0|254|0|0|425
10008819|0345050|"BANGO KECAP MANIS REFILL 10050/10034  PCH 550/520mL"|-21228|0|0|0|0|396|0|0|-21624
10010220|0359460|"SARIWANGI TEH CELUP ASLI BOX 50X1.9g"|1481|0|0|0|0|68|0|0|1413
10010480|0362830|"SUPER PELL PEMBERSIH LANTAI REF FRESH APPLE PCH 780/770mL"|-80|144|0|0|0|97|0|0|-33
10014260|0362840|"SUPER PELL PEMBERSIH LANTAI REF LEMON GINGER PCH 780/770mL"|-685|168|0|0|0|57|0|0|-574
